Hole,Round,Result,Players
3,4,Par,"Brooks Koepka,ÿJason Day,ÿTony Finau,ÿFrancesco Molinari,ÿWebb Simpson,ÿPatrick Cantlay,ÿRickie Fowler,ÿJustin Harding,ÿMatt Kuchar,ÿIan Poulter,ÿJustin Thomas,ÿBubba Watson,ÿAaron Wise,ÿPatton Kizzire,ÿAdam Scott,ÿLucas Bjerregaard,ÿSi Woo Kim,ÿRory McIlroy,ÿThorbjorn Olesen,ÿJordan Spieth,ÿKyle Stanley,ÿLouis Oosthuizen,ÿViktor Hovland,ÿCharles Howell III,ÿHideki Matsuyama,ÿTommy Fleetwood,ÿHenrik Stenson,ÿKevin Tway,ÿCorey Conners,ÿKevin Na,ÿMarc Leishman,ÿTrevor Immelman,ÿEddie Pepperell,ÿCameron Smith,ÿDevon Bling,ÿBilly Horschel,ÿBranden Grace,ÿTakumi Kanaya,ÿEmiliano Grillo,ÿJ.B. Holmes,ÿBernhard Langer,ÿAlex Noren"
3,4,Bogey,"Dustin Johnson,ÿXander Schauffele,ÿJon Rahm,ÿMatthew Fitzpatrick,ÿPatrick Reed,ÿJimmy Walker,ÿKeegan Bradley,ÿKiradech Aphibarnrat,ÿMartin Kaymer,ÿTyrrell Hatton,ÿZach Johnson,ÿSatoshi Kodaira"
4,1,Birdie,"Jon Rahm,ÿBryson DeChambeau,ÿKevin Tway,ÿBranden Grace,ÿEmiliano Grillo,ÿBernhard Langer"
4,1,Par,"Tiger Woods,ÿDustin Johnson,ÿBrooks Koepka,ÿXander Schauffele,ÿJason Day,ÿFrancesco Molinari,ÿWebb Simpson,ÿPatrick Cantlay,ÿRickie Fowler,ÿJustin Harding,ÿMatt Kuchar,ÿIan Poulter,ÿBubba Watson,ÿAaron Wise,ÿPatton Kizzire,ÿPhil Mickelson,ÿAdam Scott,ÿSi Woo Kim,ÿRory McIlroy,ÿThorbjorn Olesen,ÿJordan Spieth,ÿCharley Hoffman,ÿLouis Oosthuizen,ÿViktor Hovland,ÿCharles Howell III,ÿHideki Matsuyama,ÿGary Woodland,ÿRafa Cabrera Bello,ÿTommy Fleetwood,ÿAlvaro Ortiz,ÿHenrik Stenson,ÿKeegan Bradley,ÿHaotong Li,ÿCorey Conners,ÿKevin Na,ÿMarc Leishman,ÿTrevor Immelman,ÿMartin Kaymer,ÿEddie Pepperell,ÿCameron Smith,ÿDevon Bling,ÿTyrrell Hatton,ÿZach Johnson,ÿJ.B. Holmes,ÿStewart Cink,ÿSergio Garcia,ÿSandy Lyle,ÿJustin Rose,ÿDanny Willett,ÿFred Couples,ÿAdam Long,ÿShane Lowry,ÿMatt Wallace,ÿVijay Singh,ÿJose Maria Olazabal"
4,1,Bogey,"Tony Finau,ÿJustin Thomas,ÿMatthew Fitzpatrick,ÿKevin Kisner,ÿKyle Stanley,ÿPatrick Reed,ÿJimmy Walker,ÿKeith Mitchell,ÿAndrew Landry,ÿKiradech Aphibarnrat,ÿBilly Horschel,ÿTakumi Kanaya,ÿSatoshi Kodaira,ÿAlex Noren,ÿKevin O'Connell,ÿMike Weir,ÿCharl Schwartzel,ÿBrandt Snedeker,ÿLarry Mize,ÿJovan Rebula,ÿPaul Casey,ÿMichael Kim,ÿIan Woosnam,ÿAngel Cabrera"
4,1,Double Bogey,"Lucas Bjerregaard,ÿShugo Imahira"
4,2,Birdie,"Tiger Woods, Matt Kuchar, Louis Oosthuizen, Gary Woodland, Keegan Bradley, Marc Leishman, Devon Bling"
4,2,Par,"Dustin Johnson, Xander Schauffele, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Patrick Cantlay, Rickie Fowler, Jon Rahm, Justin Harding, Ian Poulter, Justin Thomas, Bubba Watson, Aaron Wise, Patton Kizzire, Phil Mickelson, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Kevin Kisner, Rory McIlroy, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Bryson DeChambeau, Charley Hoffman, Charles Howell III, Hideki Matsuyama, Rafa Cabrera Bello, Henrik Stenson, Kevin Tway, Jimmy Walker, Haotong Li, Keith Mitchell, Andrew Landry, Kevin Na, Kiradech Aphibarnrat, Trevor Immelman, Eddie Pepperell, Cameron Smith, Tyrrell Hatton, Zach Johnson, Satoshi Kodaira, Emiliano Grillo, J.B. Holmes, Bernhard Langer, Alex Noren, Stewart Cink, Sergio Garcia, Sandy Lyle, Kevin O'Connell, Justin Rose, Danny Willett, Fred Couples, Adam Long, Brandt Snedeker, Shugo Imahira, Shane Lowry, Larry Mize, Jovan Rebula, Matt Wallace, Paul Casey, Michael Kim, Vijay Singh, Angel Cabrera, Jose Maria Olazabal"
4,2,Bogey,"Brooks Koepka, Viktor Hovland, Tommy Fleetwood, Alvaro Ortiz, Patrick Reed, Corey Conners, Martin Kaymer, Branden Grace, Takumi Kanaya, Mike Weir, Charl Schwartzel, Ian Woosnam"
4,2,Double Bogey,Billy Horschel
4,3,Birdie,"Patrick Cantlay, Rickie Fowler, Rory McIlroy, Charley Hoffman"
4,3,Par,"Tiger Woods, Dustin Johnson, Brooks Koepka, Xander Schauffele, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Matt Kuchar, Ian Poulter, Justin Thomas, Bubba Watson, Aaron Wise, Phil Mickelson, Adam Scott, Matthew Fitzpatrick, Kevin Kisner, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Bryson DeChambeau, Rafa Cabrera Bello, Tommy Fleetwood, Patrick Reed, Keegan Bradley, Haotong Li, Corey Conners, Andrew Landry, Kevin Na, Martin Kaymer, Eddie Pepperell, Cameron Smith, Tyrrell Hatton, Billy Horschel, Branden Grace, Zach Johnson, Takumi Kanaya, Satoshi Kodaira, Bernhard Langer, Alex Noren"
4,3,Bogey,"Jon Rahm, Justin Harding, Patton Kizzire, Lucas Bjerregaard, Louis Oosthuizen, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Gary Woodland, Alvaro Ortiz, Henrik Stenson, Kevin Tway, Jimmy Walker, Keith Mitchell, Kiradech Aphibarnrat, Marc Leishman, Trevor Immelman, Devon Bling, Emiliano Grillo, J.B. Holmes"
4,3,Double Bogey,Si Woo Kim
4,4,Birdie,"Jordan Spieth, Hideki Matsuyama, Marc Leishman"
4,4,Par,"Dustin Johnson, Brooks Koepka, Xander Schauffele, Tony Finau, Francesco Molinari, Webb Simpson, Rickie Fowler, Jon Rahm, Ian Poulter, Justin Thomas, Bubba Watson, Aaron Wise, Phil Mickelson, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Kevin Kisner, Thorbjorn Olesen, Kyle Stanley, Bryson DeChambeau, Charley Hoffman, Louis Oosthuizen, Charles Howell III, Gary Woodland, Rafa Cabrera Bello, Tommy Fleetwood, Alvaro Ortiz, Patrick Reed, Henrik Stenson, Jimmy Walker, Keegan Bradley, Keith Mitchell, Corey Conners, Andrew Landry, Kevin Na, Kiradech Aphibarnrat, Martin Kaymer, Eddie Pepperell, Devon Bling, Tyrrell Hatton, Billy Horschel, Zach Johnson, Emiliano Grillo, J.B. Holmes, Alex Noren"
4,4,Bogey,"Tiger Woods, Jason Day, Patrick Cantlay, Justin Harding, Matt Kuchar, Patton Kizzire, Rory McIlroy, Viktor Hovland, Kevin Tway, Haotong Li, Trevor Immelman, Cameron Smith, Branden Grace, Satoshi Kodaira, Bernhard Langer"
4,4,Double Bogey,"Adam Scott, Takumi Kanaya"
5,1,Birdie,"Hideki Matsuyama, Gary Woodland, Marc Leishman, Billy Horschel"
